,id,avg_likes_per_orig_tweet,avg_retweets_per_orig_tweet,following_count,followers_count,female_pct_follower,female_pct_friend,twitter,gender,asstprof,assocprof,prof,academic,yrs_on_twitter,origtweets_year,new_following_year,followers_year,orig_likes_year,orig_rt_year,follower_to_following_ratio
61,61,0,0,34,18,0.588235294,0.454545455,1,female,0,0,1,1,2.3333333,0,14.571428,7.714286,0,0,0.5294118
62,62,0,0,79,24,0.416666667,0.265822785,1,male,1,0,0,1,3.5,0.2857143,22.571428,6.857143,0,0,0.30379745
63,63,17.99337748,4.754237288,220,1430,0.554243542,0.526548673,1,female,0,0,1,1,4.1666665,39.36,52.8,343.2,708.21936,187.12679,6.5
64,64,0,0,23,12,0.555555556,0.590909091,1,female,0,0,0,,5.6666665,1.2352941,4.0588236,2.1176472,0,0,0.5217391
65,65,4.84057971,3.203389831,300,408,0.45844504,0.448028674,1,female,0,1,0,1,5.6666665,18.17647,52.941177,72,87.98465,58.22632,1.36
66,66,3.20990099,2.159793814,557,914,0.693208431,0.701275046,1,male,0,0,1,1,8.666667,191.65384,64.26923,105.46154,615.1898,413.93277,1.6409335
67,67,2.944827586,5.316176471,504,321,0.395104895,0.363449692,1,male,0,0,1,1,5.6666665,265.94116,88.94118,56.64706,783.1509,1413.7902,0.6369048
68,68,2.007142857,1.71875,219,213,0.832512315,0.76635514,1,female,0,0,1,1,5.6666665,180.70589,38.64706,37.588234,362.70255,310.58826,0.9726027
69,69,6.333333333,3.333333333,90,87,0.238095238,0.366666667,1,female,1,0,0,1,1.5833334,8.842105,56.842106,54.94737,55.999996,29.473682,0.96666664
70,70,2.433604336,2.780392157,210,598,0.429071804,0.301886792,1,male,0,0,0,,5.5833335,137.91045,37.61194,107.10448,335.61945,383.44513,2.847619
71,71,1.744094488,1.908602151,315,388,0.771117166,0.67218543,1,female,0,1,0,1,5.5833335,355.88058,56.41791,69.49254,620.6894,679.23444,1.2317461
72,72,1.814223512,1.611353712,3226,1345,0.556891026,0.562539087,1,male,0,0,0,,10.5,295.8095,307.2381,128.09525,536.66455,476.65375,0.41692498
73,73,3.5,2.203252033,869,1429,0.389580093,0.334123223,1,male,1,0,0,1,5.5833335,128.05971,155.64178,255.94029,448.20898,282.1478,1.6444188
74,74,4.645454545,2.811594203,232,302,0.667820069,0.617647059,1,female,0,0,1,1,3.25,96.92308,71.38461,92.92308,450.25177,272.50836,1.3017242
75,75,1.333333333,0,64,13,0.692307692,0.390625,1,female,0,0,1,1,3.75,2.1333334,17.066668,3.4666667,2.8444445,0,0.203125
76,76,3.487762238,2.011450382,1088,854,0.607843137,0.534386617,1,female,0,0,1,1,4.1666665,199.92,261.12,204.96,697.27344,402.12915,0.7849265
77,77,2.5,0,49,21,0.222222222,0.142857143,1,male,1,0,0,1,5.5833335,1.6119403,8.776119,3.761194,4.0298505,0,0.42857143
78,78,3.93220339,2.041666667,182,215,0.756218905,0.734463277,1,female,0,0,1,1,4.6666665,14.571428,39,46.07143,57.29782,29.75,1.1813186
79,79,5.181818182,2.5,39,37,0.75,0.837837838,1,female,1,0,0,1,0.33333334,39,117,111,202.09091,97.5,0.94871795
80,80,1,2,42,59,0.642857143,0.707317073,1,male,0,0,0,,6.5833335,5.924051,6.379747,8.962026,5.924051,11.848102,1.4047619
81,81,3.906976744,2.333333333,94,148,0.673913043,0.544444444,1,male,0,0,1,1,5.5,11.818182,17.09091,26.90909,46.173363,27.575758,1.5744681
82,82,1.333333333,0,179,44,0.5,0.439306358,1,male,1,0,0,1,7.4166665,12,24.134832,5.9325843,16,0,0.24581006
83,83,0,0,8,14,0.769230769,0.857142857,1,female,1,0,0,1,3.75,0.26666668,2.1333334,3.7333333,0,0,1.75
84,84,2,1,62,45,0.512195122,0.724137931,1,female,0,1,0,1,3.9166667,1.7872341,15.829787,11.489362,3.5744681,1.7872341,0.7258065
85,85,5.936675462,3.528358209,355,1153,0.383945841,0.362537764,1,male,0,0,1,1,4.6666665,101.78571,76.07143,247.07143,604.26874,359.13644,3.2478874
86,86,2.432926829,1.704545455,281,403,0.527415144,0.498181818,1,female,1,0,0,1,5.5,200,51.090908,73.27273,486.58536,340.9091,1.4341637
87,87,1.086956522,1.326086957,1091,725,0.367851623,0.372529644,1,female,1,0,0,1,10.5,175.04762,103.90476,69.04762,190.26915,232.12837,0.66452795
88,88,3.306818182,2.55952381,14,231,0.663551402,0.642857143,1,male,0,0,0,,5.5,20.545454,2.5454545,42,67.94008,52.58658,16.5
89,89,1.7,1.142857143,151,97,0.446808511,0.4,1,female,0,0,0,,8.5,1.7647059,17.764706,11.411765,3,2.0168068,0.6423841
90,90,0,0,162,71,,0.213836478,1,male,1,0,0,1,8.5,0.5882353,19.058823,8.3529415,0,0,0.4382716
91,91,5.335260116,8.16374269,188,1351,0.591920857,0.507936508,1,female,0,0,0,,4.4166665,64.98113,42.566036,305.88678,346.69125,530.48926,7.18617
92,92,6.563157895,3.857664234,432,910,0.771726535,0.735849057,1,female,0,0,1,1,5.5,80.90909,78.545456,165.45454,531.0191,312.1201,2.1064816
93,93,14.11330049,7.603938731,274,5628,0.282812189,0.418518519,1,female,0,1,0,1,9.583333,99.86087,28.591305,587.2696,1409.3665,759.33594,20.540146
94,94,1.333333333,1.666666667,61,113,0.716981132,0.516666667,1,male,0,1,0,1,8.5,3.1764705,7.1764708,13.294118,4.235294,5.2941175,1.8524591
95,95,2.333333333,2.227272727,56,300,0.383802817,0.418181818,1,male,0,0,1,1,5.5,8.727273,10.181818,54.545456,20.363636,19.438017,5.357143
96,96,10.04651163,2.532258065,1348,804,0.275994865,0.239489489,1,male,0,1,0,1,4.75,19.578947,283.78946,169.26315,196.70012,49.578945,0.5964392
97,97,5.515151515,2.985294118,1539,395,0.551912568,0.560233161,1,female,1,0,0,1,3.1666667,41.68421,486,124.73684,229.89474,124.43963,0.25666016
98,98,3.111111111,3,494,263,0.420168067,0.328451883,1,male,1,0,0,1,10.416667,13.344,47.424,25.248,41.514668,40.031998,0.5323887
99,99,1.764705882,1.166666667,81,88,0.710526316,0.556962025,1,female,0,0,0,,10.416667,7.008,7.776,8.448,12.367059,8.176,1.0864197
100,100,6.07079646,2.655737705,463,1020,0.361018826,0.338461538,1,female,1,0,0,1,10.416667,27.168,44.448,97.92,164.9314,72.15108,2.2030237
